	eng	kor
Attack	Attack	공격
Skill	Skill	스킬
Item	Item	아이템
Stay	Stay	대기
Cancle	Cancle	취소
NormalAttack_Melee	NormalAttack - Melee	일반공격 - 근접
desc_NormalAttack_Melee	Using an weapon to melee attack.	무기를 이용한 근접공격
NormalAttack_Spear	NormalAttack - Range	일반공격 - 원거리
desc_NormalAttack_Spear	Using an spear to melee attack.	창을 이용한 근접공격
NormalAttack_Range	NormalAttack - Range	일반공격 - 원거리
desc_NormalAttack_Range	Using an weapon to range attack.	무기를 이용한 원거리 공격
NormalAttack_Ryeon	NormalAttack - Ryeon	일반공격 - 원거리
desc_NormalAttack_Ryeon	Using an Ryeon to attack.	연을 이용한 공격
Test_Sword	Test Sword	테스트용 검
desc_Test_Sword	Test Weapon, Sword.	테스트 무기, 검.
WoodenSword	Wooden Sword	목검
desc_WoodenSword	A Wooden Sword.	나무로 만들어진 검.
IronSword	Iron Sword	철검
desc_IronSword	A Iron Sword.	철로 만들어진 검.
FireSword	Fire Sword	불의 검
desc_FireSword	Flame forced sword./n'Fire Element' <val0>	불의 힘을 지닌 검./n화염 속성<val0>
RoseThorn	Rose Thorn	장미의 가시
desc_RoseThorn	The moment you're fascinated, you're stabbed by a thorn/nPoison <val0>, Bleed <val1>	매료된 순간 가시에 찔리게된다/n독 <val0>, 출혈 <val1>
TheNeedleOfFate	The Needle of Fate	운명의 바늘
desc_TheNeedleOfFate	The needle through fate/nIf you deal with enemies with less than <val0>% your hp, you will get a fate buff (move to buff position during hit, delete buff if not movable) for <val1>T	운명과 운명을 꿰는 바늘/nHP이 <val0>% 이하인 상태에서 적 처치시 운명(피격시 버프 획득 위치로 이동, 이동 불가시 버프 삭제)버프를 <val1>턴간 획득
RevolvingBlade	Revoloving Blade	회전칼날
desc_RevolvingBlade	A blade that spins at high speed/nIf you attack it, Speed increases by <val0>, Up to <val1> overlapping	고속으로 회전하는 칼날/n 공격시 속도 <val0>증가, 최대 <val1> 중첩 가능
ColoredBlack	Colored Black	근묵자흑
desc_ColoredBlack	Dye it black./n<val0>% chance of 'Weakness' for <val1> turn.	검게 물들여라/n<val0>%확률로 <val1>턴간 쇠약부여
WoodenSpear	Wooden Spear	나무 창
desc_WoodenSpear	A Wooden Spear	나무로 만든 창
IronSpear	Iron Spear	철의 창
desc_IronSpear	A Iron Spear	철로 만든 창
LightningGodsSpear	LightningGod's Spear	뇌신의 창
